industry,industry_uuid,category,subcategory_1,subcategory_2,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Property Manager,ind_b9613f32edc644bfa6c7e09b40798b8d,Property manager,Property manager,Property Management Services,olit_d4d9bbcd3d7946d5a64daf45edab1398,Home Watch Services,"Regular property inspections to ensure the client's home is safe and secure while they're away. Includes checks for security, plumbing, HVAC, and weather-related issues. A detailed report with photos is provided after each visit.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_407142be7e7346e99fb0a27af95184fe,Monthly House Cleaning,"Get a fresh start every month. Our team of professionals will clean your home with care, making sure everything looks excellent.
Monthly cleaning appointments are scheduled every four weeks. 

The first cleaning will be charged at the Initial Cleaning price.",$199.59,$109.77,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_0eaca717a15b4d689a07a149dc787997,Moving Cleaning,"Leave the cleaning to us when moving in or out. Our highly trained team will handle the deep cleaning, making the space spotless for the next residents.",$532.09,$292.64,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_c9eb19a55d7f4c7c9cb03408224920fe,One-Time House Cleaning,"Perfect for a deep clean or special occasion. Our team works efficiently to give your home a detailed cleaning, leaving it spotless.",$425.67,$234.11,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_8d71f1a5021b42c3b32c36014dcd605c,Weekly House Cleaning,"Enjoy a consistently clean home without lifting a finger. Our trained team provides efficient, thorough cleaning every week so you can take back your time.

The first cleaning will be charged at the Initial Cleaning price.",$122.28,$67.25,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"0-1,000 Sq Ft","","",olit_0d63cab3139c4880a8279f31f03c87fa,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,601-1,900 Sq Ft","","",olit_5293bbf75af34420bd8bdd89a57aa5b1,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,Additional Services,"","",olit_601e55b9bb044712990303cc45891d43,Grill Deep-Cleaning,"We remove built-up grease, grime, and food residue to ensure a fresh start for your next BBQ. Enjoy a cleaner, more efficient grill with our thorough service.",$75.00,$41.25,false,"","",false
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"2,201-2,500 Sq Ft","","",olit_3ba2a1dd52a54e909f4ee28ef3360546,Biweekly House Cleaning,"Keep your home fresh and tidy with biweekly visits from our expert team. We ensure thorough cleaning while maintaining your space with care.
",$225.78,$140.67,false,"","",true
Home Cleaning,ind_dd88b46f5da742d7b8e679dc57dd329f,"1,001-1,300 Sq Ft","","",olit_6a265947ea6f446c951d585d8245b5a8,Vacation Rental Cleaning,"Comprehensive cleaning service tailored for vacation rentals. Includes thorough cleaning of all rooms, sanitization of high-touch surfaces, meticulous attention to detail in kitchens and bathrooms, bed linen change, laundry service for towels and bedding (as needed), and preparation for guest arrivals. We ensure your property is spotless, welcoming, and ready for your next guests, maintaining the highest standards of cleanliness to enhance guest satisfaction.",$0.00,$0.00,false,"","",false
